ID,Tweet,Match,Polarity
541,playball good news summer slugger mlbs baseballthemed online education course is now available for free for kids learning at hom,good available free,POSITIVE
542,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
543,he can but he should defend the bernie sanders request about  medicare for all  university education and others ,,NEUTRAL
544,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
545,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
546,qhalifax q update  residents and  homecare worker tested positive for covid at northwood in halifax ,positive,POSITIVE
547,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
548,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
549,ismith i am very excited to announce that i have officially decided to further my softball career and education at lubbock christi,excited,POSITIVE
550,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
551,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
552,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
553,halifax canada foreign report  uninjured aircraft substantially damaged nov   in accident number dcawa brief not full report ,damaged,NEGATIVE
554,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
555,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
556,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
557,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
558,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
559,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
560,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
561,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
562,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
563,ahtone   you can also read our methodology to understand how the database was created using primary source materials including la,,NEUTRAL
564,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
565,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
566,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
567,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
568,qhalifax q update  residents and  homecare worker tested positive for covid at northwood in halifax ,positive,POSITIVE
569,aihaknass pls readampjudge my case my name is aihaknass kwankwasorm sponsored my education into nwu university kano the uni was es,,NEUTRAL
570,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
571,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
572,pontifex amen pope francis from halifax nova scotia canada  he is risen amen,,NEUTRAL
573,obots deliver food  and relief  to uw students still on campus during covid pandemic  via wistatejournal,relief,POSITIVE
574,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
575,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
576,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
577,undetash top    sites to learn excel for free  sites for free online education  sites for your career  sites to review your re,top excel free free,POSITIVE
578,undetash top    sites to learn excel for free  sites for free online education  sites for your career  sites to review your re,top excel free free,POSITIVE
579,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
580,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
581,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
582,humpbackwhalet many of these feelings go back to the start of dengs reforms the chinese university students had their free education removed while the government did not strip the foreign african students of theirs this was one of the big issues that lead to the tiananmen riots,reforms free issues lead,POSITIVE
583,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
584,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
585,xapache more lies like your education on the war of    canada burnt down the white house once and we will do it again,lies like,NEUTRAL
586,acephil some really good advice for students in these difficult times managing time and motivation  academic skills kit ask  new,good difficult,NEUTRAL
587,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
588,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
589,wintersongbird i was under the impression the spanish flu came from canada   maybe i confused the two but i thought that the origin point was a system of construction workers from halifax were they chinese construction workers or something,confused,NEGATIVE
590,speakinfluently ancient greek and latin as part of our nd grade school education and for the university entry exams,,NEUTRAL
591,krizellesays i krizelle a bs accountancy student of the far eastern university stand firm that quality education must not be at the,bs,NEGATIVE
592,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
593,sosalberta there is an assumption that students are going to be disciplined they are going to be supported by parents and caregivers,supported,POSITIVE
594,cbcalerts more cbcnews on covid in nova scotia province reports  new cases of covid including  at halifax seniors residenc,,NEUTRAL
595,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
596,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
597,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
598,sidrahdp  poor kids learning quran amp elementary education   fatima alfihri founder of the oldest university  madrasa still running,poor,NEGATIVE
599,nervous to apply for a job like parttime lecturers in visual and performing arts at the university of texas at dallas apply even if youre not a  match you might be underestimating your value click the link in our bio for more info education richardson tx,nervous like,NEUTRAL
600,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
601,qhalifax q update  residents and  homecare worker tested positive for covid at northwood in halifax ,positive,POSITIVE
602,full sail university offers north carolina student who walked miles for school a full scholarship  nc northcarolina education,,NEUTRAL
603,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
604,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
605,shoffmanab these layoffs are because abed adrianalagrange cut m just a couple of weeks ago of course layoff notices are being,layoff,NEGATIVE
606,q update  residents and  homecare worker tested positive for covid at northwood in halifax ,positive,POSITIVE
607,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
608,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
609,osstftoronto maybe one of the biggest takeaways at the end of the day will be this the bricksandmortar classroom is one of the big,,NEUTRAL
610,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
611,in mexico economic opportunity increases the closer your skin gets to white   those with fairer skin are more likely to have a university education are more likely to go to college tend to be in positions of power,,NEUTRAL
612,abmorayta tamaraws lets make our voices be heard  tweet   i name a deg prog student of the far eastern university stand fir,,NEUTRAL
613,heportraitsmnl far eastern university is trending  why because the students of far eastern university stand firm that quality educ,,NEUTRAL
614,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
615,carmbl rolat while this isnt canada  it does show how uneven onlinelearning can be amp lead to inequities in education  in  us teens say they havent done online learning since schools closed  teaching,uneven lead inequities,NEGATIVE
616,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
617,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
618,ericavioletlee to the people who think everyone should be able to save  of their annual income  what would your income be if your parents hadnt paid for your university education,,NEUTRAL
619,cbcns nova scotia reports  new cases of covid including  at halifax seniors residence  ,,NEUTRAL
620,imarcelle anne roo a nd year bs internal auditing student of the far eastern university stand firm that quality education must not be at the expense of students health and safety   endclassesnowfeu anonafeu ,bs,NEGATIVE
621,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
622,over  of unilorin students are studying educational courses is that a university or  a college of education later they wont let us hear word on twitter  kwasuvsunilorin ,,NEUTRAL
623,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
624,globeandmail halifax area restaurant island food producers reach out to those in need  ,,NEUTRAL
625,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
626,i eia noelle rarugal a bs medical technology student of the far eastern university stand firm that quality education must not be at the expense of students health and safety  feu pakinggan mo kami  endclassesnowfeu nostudentleftbehind anonafeu ,bs,NEGATIVE
627,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
628,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
629,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
630,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
631,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
632,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
633,globeandmail halifax area restaurant island food producers reach out to those in need  ,,NEUTRAL
634,aihaknass pls readampjudge my case my name is aihaknass kwankwasorm sponsored my education into nwu university kano the uni was es,,NEUTRAL
635,johnaaronread comet cy imaged over  hours using the saint marys university robotic telescope ralph smubgobs smuhalifax c,saint,POSITIVE
636,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
637,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
638,sarahludford helenpring oranogroup exactly what training have the members of cobr had  in addition i had reviewed emergency plans of a local authority blue chip company university and two hospitals in addition to formal education  to be vicechair of a pension fund i had to be trained statutory requirement,emergency,NEGATIVE
639,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
640,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
641,aihaknass pls readampjudge my case my name is aihaknass kwankwasorm sponsored my education into nwu university kano the uni was es,,NEUTRAL
642,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
643,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
644,godsown akwa ibom is blessed with hardworking people the issue with most of us is that we lack exposure primary to university education is within akwa ibom and every person they see excel they prefer to be called pa than find their own way,issue lack excel prefer,NEUTRAL
645,next up is our third kieran mackintosh he is in his th year of curling and represented nova scotia at the  canada winter games and nova scotia  at the  u nationals this fall hell be in grade  at halifax west high school  ,fall hell,NEGATIVE
646,boorishjohnson jim scottories  further education under the snp has been an unmitigated disaster with indigenous scots not having university places available due to the free for all availability to eu students  so that we all pay for the maintenance even when we live nowhere near the central beltgtgtgt,disaster available free,POSITIVE
647,flake mama always said one thing no one can take away from you is your education i said period so i present you me with a bs i,flake bs,NEGATIVE
648,osstftoronto maybe one of the biggest takeaways at the end of the day will be this the bricksandmortar classroom is one of the big,,NEUTRAL
649,cbcns nova scotia reports  new cases of covid including  at halifax seniors residence  ,,NEUTRAL
650,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
651,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
652,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
653,if youre looking for work in providence ri check out this education job via the link in our bio associate director prospect research at brown university,work providence,POSITIVE
654,syireno dvillella obama blamed schools for taking advantage of students  with massive amounts of student debt he ordered the federal trade commission to go after them university of phoenixs parent apollo education group was suspended after a federal trade commission investigation in ,advantage debt,NEUTRAL
655,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
656,acomadsa landgrab universities  expropriated indigenous land is the foundation of the landgrant university system ,,NEUTRAL
657,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
658,nova scotia reports  new cases of covid including  at halifax seniors residence  ,,NEUTRAL
659,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
660,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
661,dmo flanykpl craigcwhite iansouth richarddawkins its not just a correlation with university education check the correlation with naep scores which measures high school educational performance again its an inverse correlation with republican voting,,NEUTRAL
662,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
663,midtgaard im excited to announce that i will be continuing my college education and athletic career at grand canyon university htt,excited grand,POSITIVE
664,flake mama always said one thing no one can take away from you is your education i said period so i present you me with a bs i,flake bs,NEGATIVE
665,howardu despite the traditional amount of limited resources that hbcus possess howard has been able to formulate policies contingen,limited,NEGATIVE
666,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
667,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
668,ani university grants commission had set up  committees for examinations amp online education one committee will look at the aspects r,,NEUTRAL
669,cryptocred inversebrah in canada if you run a group and give buy  sell targets as long as its not just only education you need to be registered at the amf otherwise if one of your members loses money and reports you you get a  fine no exception if you are not registered,loses fine,NEUTRAL
670,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
671,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
672,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
673,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
674,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
675,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
676,harryb thank god prity patel has got a degree in economics and a post graduate economics qualifications from a premie british university just imagine if her parents did not give her a worthwhile education,thank worthwhile,POSITIVE
677,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
678,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
679,jarlathobrien lynnemoody harrisalanah realtraininguk maybe worth adding these too jarlath dont think they are there  free webinars  from studioiii   university of chester free cpd sessions  april   all free stuff from studioiii amp uoceducation   stay safe and bw gareth,worth free free free safe,POSITIVE
680,ismith i am very excited to announce that i have officially decided to further my softball career and education at lubbock christi,excited,POSITIVE
681,mathmania  lot the balance sheet national business education quarterly magazine university    print ads advertisements,,NEUTRAL
682,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
683,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
684,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
685,aihaknass pls readampjudge my case my name is aihaknass kwankwasorm sponsored my education into nwu university kano the uni was es,,NEUTRAL
686,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
687,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
688,aihaknass pls readampjudge my case my name is aihaknass kwankwasorm sponsored my education into nwu university kano the uni was es,,NEUTRAL
689,flake mama always said one thing no one can take away from you is your education i said period so i present you me with a bs i,flake bs,NEGATIVE
690,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
691,cbcalerts more cbcnews on covid in nova scotia province reports  new cases of covid including  at halifax seniors residenc,,NEUTRAL
692,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
693,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
694,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
695,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
696,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
697,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
698,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
699,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
700,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
701,jodysmithnfl happy belated birthday brandon from victoria b c and halifax nova scotia i also love geography and live on both coasts of canada have a great year bud ,happy belated love great,POSITIVE
702,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
703,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
704,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
705,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
706,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
707,cbcalerts more cbcnews on covid in nova scotia province reports  new cases of covid including  at halifax seniors residenc,,NEUTRAL
708,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
709,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
710,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
711,cbcalerts more cbcnews on covid in nova scotia province reports  new cases of covid including  at halifax seniors residenc,,NEUTRAL
712,i natasha aeleane ordua a bs accountancy student of the far eastern university stand firm that quality education must not be at the expense of students health and safety  feu pakinggan mo kami   endclassesnowfeu nostudentleftbehind,bs,NEGATIVE
713,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
714,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
715,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
716,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
717,more cbcnews on covid in nova scotia province reports  new cases of covid including  at halifax seniors residence ,,NEUTRAL
718,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
719,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
720,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
721,montrealsimon so we in the us are not alone in having elected officials lacking education intelligence or moral grace sad to see leering hyenas in the storied land of canada,lacking intelligence grace sad,NEUTRAL
722,angiemdec chronicseb jkenney ahsmedia cphocanada pattyhajdu cafreeland billmorneau justintrudeau bogochisaac drtedros rachelnotley ndp what went wrong albertans depart for jobs believed kenney when he promised jobs amp to not cut hc or education what evidence is there thus far of any of those  promises being upheld ab is in crisis people blamed notley for the fall of oampg oddly there are global factors,wrong promised promises upheld crisis fall oddly,NEGATIVE
723,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
724,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
725,baileypittipat washingtonpost your words are not true at all the rulings do not apply to countries without such certainty women in the kingdom of saudi arabia live with dignity and freedom and receive education until graduation from university and health as well for free women work wherever they want,dignity freedom well free work,POSITIVE
726,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
727,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
728,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
729,ani university grants commission had set up  committees for examinations amp online education one committee will look at the aspects r,,NEUTRAL
730,broadband is a vital lifeline right now  fcm rural forum chair orbray shares how covid pandemic has highlighted the gaps that exist btw different cdnmuni across   ruralmatters universalbroaband  ,right,POSITIVE
731,ani university grants commission had set up  committees for examinations amp online education one committee will look at the aspects r,,NEUTRAL
732,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
733,university grants commission had set up  committees for examinations amp online education one committee will look at the aspects related to examinationsampacademic calendar on basis of recommendations of the committeewell issue guidelines for universities ugc chairman dp singh,recommendations issue,NEUTRAL
734,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
735,ottinogreg academicchatter thank you for your insights  my initial plan was to go for a phd after a masters as thats the typical progression in canada i would hope to end up in research or education at the end of it though from what ive heard that can be challenging,thank masters challenging,POSITIVE
736,bbcnews my answer to our shortage of doctorssuitable applicants willing to agree to work with the nhs for a prescribed period would receive a free university educationtheycould leave the nhs after the period debt free this must wait until we have caringcompetent government,shortage willing work free debt free,POSITIVE
737,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
738,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
739,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
740,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
741,atelierringo fleece madblueder arl princeskeleboi fraybig amydentata rgnld themalaru also your argument posits there is no good or value of a university education or apprenticeship outside of market value i disagree and i see your whole outlook as a problem of our system,good disagree problem,NEGATIVE
742,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
743,join the university of central oklahoma team see our latest education job openings including french language fulltime nontenure track lecturer  via the link in our bio edmondjobs higheredjobs,,NEUTRAL
744,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
745,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
746,aihaknass pls readampjudge my case my name is aihaknass kwankwasorm sponsored my education into nwu university kano the uni was es,,NEUTRAL
747,kellymeyerhofer the first uwsystemwide estimate on coronavirusrelated financial loss is m  and thats just for this spring s,loss,NEGATIVE
748,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
749,flake mama always said one thing no one can take away from you is your education i said period so i present you me with a bs i,flake bs,NEGATIVE
750,imesofindia university grants commission had set up  committees for examinations amp online education one committee will look at the,,NEUTRAL
751,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
752,flake mama always said one thing no one can take away from you is your education i said period so i present you me with a bs i,flake bs,NEGATIVE
753,globeandmail halifax area restaurant island food producers reach out to those in need  ,,NEUTRAL
754,miannaveed he completed his education from baghdad university in iraq drashraf asif jalali also made a platform called  tehreek,,NEUTRAL
755,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
756,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
757,acomadsa landgrab universities  expropriated indigenous land is the foundation of the landgrant university system ,,NEUTRAL
758,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
759,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
760,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
761,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
762,ani university grants commission had set up  committees for examinations amp online education one committee will look at the aspects r,,NEUTRAL
763,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
764,ani university grants commission had set up  committees for examinations amp online education one committee will look at the aspects r,,NEUTRAL
765,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
766,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
767,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
768,aihaknass pls readampjudge my case my name is aihaknass kwankwasorm sponsored my education into nwu university kano the uni was es,,NEUTRAL
769,acomadsa landgrab universities  expropriated indigenous land is the foundation of the landgrant university system ,,NEUTRAL
770,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
771,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
772,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
773,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
774,csunited if andrewscheer wants a sitting parliament to hold liberals to account then in answering any question he poses to the g,,NEUTRAL
775,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
776,mckennacentre kevinwamsley dont let your studies interfere with your education  university needs to continue to be more than books and tests will residences have more room if international students arent able to travel  will infection rates be lower if canadian students cant travel internationally,interfere infection,NEGATIVE
777,flake mama always said one thing no one can take away from you is your education i said period so i present you me with a bs i,flake bs,NEGATIVE
778,davidkudla very honored to participate in the barrons in education program providing valuable resources to students at stanford un,honored valuable,POSITIVE
779,flake mama always said one thing no one can take away from you is your education i said period so i present you me with a bs i,flake bs,NEGATIVE
780,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
781,davidkudla very honored to participate in the barrons in education program providing valuable resources to students at stanford un,honored valuable,POSITIVE
782,landgrab universities  expropriated indigenous land is the foundation of the landgrant university system  ,,NEUTRAL
783,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
784,packslight completely free online classes from uc berkeley yale harvard boston university and georgia tech why is higher educ,free,POSITIVE
785,ani university grants commission had set up  committees for examinations amp online education one committee will look at the aspects r,,NEUTRAL
786,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
787,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
788,srisri the world is on a lockdown but the online world remains dynamic as ever srisriu became a  virtual university last month,dynamic,POSITIVE
